locality,fips,year,race,pop_17under
"Charlottesville city, VA",51540,1997,American Indian or Alaska Native,5
"Charlottesville city, VA",51540,1997,Asian or Pacific Islander,104
"Charlottesville city, VA",51540,1997,Black or African American,3007
"Charlottesville city, VA",51540,1997,White,4104
"Charlottesville city, VA",51540,1998,American Indian or Alaska Native,5
"Charlottesville city, VA",51540,1998,Asian or Pacific Islander,105
"Charlottesville city, VA",51540,1998,Black or African American,3008
"Charlottesville city, VA",51540,1998,White,3945
"Charlottesville city, VA",51540,1999,American Indian or Alaska Native,5
"Charlottesville city, VA",51540,1999,Asian or Pacific Islander,111
"Charlottesville city, VA",51540,1999,Black or African American,2984
"Charlottesville city, VA",51540,1999,White,3778
"Charlottesville city, VA",51540,2000,American Indian or Alaska Native,7
"Charlottesville city, VA",51540,2000,Asian or Pacific Islander,122
"Charlottesville city, VA",51540,2000,Black or African American,2979
"Charlottesville city, VA",51540,2000,White,3651
"Charlottesville city, VA",51540,2001,American Indian or Alaska Native,7
"Charlottesville city, VA",51540,2001,Asian or Pacific Islander,149
"Charlottesville city, VA",51540,2001,Black or African American,2943
"Charlottesville city, VA",51540,2001,White,3672
"Charlottesville city, VA",51540,2002,American Indian or Alaska Native,8
"Charlottesville city, VA",51540,2002,Asian or Pacific Islander,151
"Charlottesville city, VA",51540,2002,Black or African American,2813
"Charlottesville city, VA",51540,2002,White,3700
"Charlottesville city, VA",51540,2003,American Indian or Alaska Native,12
"Charlottesville city, VA",51540,2003,Asian or Pacific Islander,150
"Charlottesville city, VA",51540,2003,Black or African American,2623
"Charlottesville city, VA",51540,2003,White,3722
"Charlottesville city, VA",51540,2004,American Indian or Alaska Native,16
"Charlottesville city, VA",51540,2004,Asian or Pacific Islander,170
"Charlottesville city, VA",51540,2004,Black or African American,2535
"Charlottesville city, VA",51540,2004,White,3541
"Charlottesville city, VA",51540,2005,American Indian or Alaska Native,19
"Charlottesville city, VA",51540,2005,Asian or Pacific Islander,176
"Charlottesville city, VA",51540,2005,Black or African American,2471
"Charlottesville city, VA",51540,2005,White,3560
"Charlottesville city, VA",51540,2006,American Indian or Alaska Native,23
"Charlottesville city, VA",51540,2006,Asian or Pacific Islander,205
"Charlottesville city, VA",51540,2006,Black or African American,2469
"Charlottesville city, VA",51540,2006,White,3618
"Charlottesville city, VA",51540,2007,American Indian or Alaska Native,27
"Charlottesville city, VA",51540,2007,Asian or Pacific Islander,213
"Charlottesville city, VA",51540,2007,Black or African American,2401
"Charlottesville city, VA",51540,2007,White,3663
"Charlottesville city, VA",51540,2008,American Indian or Alaska Native,30
"Charlottesville city, VA",51540,2008,Asian or Pacific Islander,242
"Charlottesville city, VA",51540,2008,Black or African American,2366
"Charlottesville city, VA",51540,2008,White,3660
"Charlottesville city, VA",51540,2009,American Indian or Alaska Native,33
"Charlottesville city, VA",51540,2009,Asian or Pacific Islander,256
"Charlottesville city, VA",51540,2009,Black or African American,2349
"Charlottesville city, VA",51540,2009,White,3780
"Charlottesville city, VA",51540,2010,American Indian or Alaska Native,37
"Charlottesville city, VA",51540,2010,Asian or Pacific Islander,302
"Charlottesville city, VA",51540,2010,Black or African American,2258
"Charlottesville city, VA",51540,2010,White,3878
"Charlottesville city, VA",51540,2011,American Indian or Alaska Native,33
"Charlottesville city, VA",51540,2011,Asian or Pacific Islander,314
"Charlottesville city, VA",51540,2011,Black or African American,2217
"Charlottesville city, VA",51540,2011,White,3935
"Charlottesville city, VA",51540,2012,American Indian or Alaska Native,32
"Charlottesville city, VA",51540,2012,Asian or Pacific Islander,355
"Charlottesville city, VA",51540,2012,Black or African American,2179
"Charlottesville city, VA",51540,2012,White,4134
"Charlottesville city, VA",51540,2013,American Indian or Alaska Native,39
"Charlottesville city, VA",51540,2013,Asian or Pacific Islander,422
"Charlottesville city, VA",51540,2013,Black or African American,2253
"Charlottesville city, VA",51540,2013,White,4150
"Charlottesville city, VA",51540,2014,American Indian or Alaska Native,30
"Charlottesville city, VA",51540,2014,Asian or Pacific Islander,451
"Charlottesville city, VA",51540,2014,Black or African American,2208
"Charlottesville city, VA",51540,2014,White,4263
"Charlottesville city, VA",51540,2015,American Indian or Alaska Native,31
"Charlottesville city, VA",51540,2015,Asian or Pacific Islander,467
"Charlottesville city, VA",51540,2015,Black or African American,2249
"Charlottesville city, VA",51540,2015,White,4349
"Charlottesville city, VA",51540,2016,American Indian or Alaska Native,30
"Charlottesville city, VA",51540,2016,Asian or Pacific Islander,489
"Charlottesville city, VA",51540,2016,Black or African American,2212
"Charlottesville city, VA",51540,2016,White,4481
"Charlottesville city, VA",51540,2017,American Indian or Alaska Native,31
"Charlottesville city, VA",51540,2017,Asian or Pacific Islander,490
"Charlottesville city, VA",51540,2017,Black or African American,2163
"Charlottesville city, VA",51540,2017,White,4619
"Charlottesville city, VA",51540,2018,American Indian or Alaska Native,26
"Charlottesville city, VA",51540,2018,Asian or Pacific Islander,472
"Charlottesville city, VA",51540,2018,Black or African American,2130
"Charlottesville city, VA",51540,2018,White,4717
"Charlottesville city, VA",51540,2019,American Indian or Alaska Native,26
"Charlottesville city, VA",51540,2019,Asian or Pacific Islander,484
