GEOID,year,race,pov_count,NAME,pop_count,total_count,group,pov_percent
51540,2012,other,0,"Charlottesville city, Virginia",47,6498,race,0
51540,2012,white,313,"Charlottesville city, Virginia",3589,6498,race,8.72
51540,2013,aian,0,"Charlottesville city, Virginia",22,6531,race,0
51540,2013,asian,166,"Charlottesville city, Virginia",280,6531,race,59.29
51540,2013,black,533,"Charlottesville city, Virginia",2145,6531,race,24.85
51540,2013,hispanic,73,"Charlottesville city, Virginia",NA,NA,NA,NA
51540,2013,multi,33,"Charlottesville city, Virginia",339,6531,race,9.73
51540,2013,nhpi,0,"Charlottesville city, Virginia",0,6531,race,NA
51540,2013,other,0,"Charlottesville city, Virginia",50,6531,race,0
51540,2013,white,426,"Charlottesville city, Virginia",3695,6531,race,11.53
51540,2014,aian,0,"Charlottesville city, Virginia",0,6784,race,NA
51540,2014,asian,154,"Charlottesville city, Virginia",269,6784,race,57.25
51540,2014,black,696,"Charlottesville city, Virginia",2120,6784,race,32.83
51540,2014,hispanic,40,"Charlottesville city, Virginia",NA,NA,NA,NA
51540,2014,multi,57,"Charlottesville city, Virginia",417,6784,race,13.67
51540,2014,nhpi,0,"Charlottesville city, Virginia",0,6784,race,NA
51540,2014,other,0,"Charlottesville city, Virginia",30,6784,race,0
51540,2014,white,427,"Charlottesville city, Virginia",3948,6784,race,10.82
51540,2015,aian,0,"Charlottesville city, Virginia",0,6907,race,NA
51540,2015,asian,152,"Charlottesville city, Virginia",261,6907,race,58.24
51540,2015,black,633,"Charlottesville city, Virginia",2025,6907,race,31.26
51540,2015,hispanic,27,"Charlottesville city, Virginia",NA,NA,NA,NA
51540,2015,multi,82,"Charlottesville city, Virginia",523,6907,race,15.68
51540,2015,nhpi,0,"Charlottesville city, Virginia",11,6907,race,0
51540,2015,other,0,"Charlottesville city, Virginia",23,6907,race,0
51540,2015,white,531,"Charlottesville city, Virginia",4064,6907,race,13.07
51540,2016,aian,0,"Charlottesville city, Virginia",49,7084,race,0
51540,2016,asian,199,"Charlottesville city, Virginia",314,7084,race,63.38
51540,2016,black,704,"Charlottesville city, Virginia",1918,7084,race,36.7
51540,2016,hispanic,31,"Charlottesville city, Virginia",NA,NA,NA,NA
51540,2016,multi,89,"Charlottesville city, Virginia",569,7084,race,15.64
51540,2016,nhpi,0,"Charlottesville city, Virginia",11,7084,race,0
51540,2016,other,0,"Charlottesville city, Virginia",47,7084,race,0
51540,2016,white,511,"Charlottesville city, Virginia",4176,7084,race,12.24
51540,2017,aian,0,"Charlottesville city, Virginia",61,7263,race,0
51540,2017,asian,143,"Charlottesville city, Virginia",339,7263,race,42.18
51540,2017,black,813,"Charlottesville city, Virginia",1914,7263,race,42.48
51540,2017,hispanic,126,"Charlottesville city, Virginia",NA,NA,NA,NA
51540,2017,multi,42,"Charlottesville city, Virginia",593,7263,race,7.08
51540,2017,nhpi,0,"Charlottesville city, Virginia",9,7263,race,0
51540,2017,other,0,"Charlottesville city, Virginia",52,7263,race,0
51540,2017,white,508,"Charlottesville city, Virginia",4295,7263,race,11.83
51540,2018,aian,0,"Charlottesville city, Virginia",80,7385,race,0
51540,2018,asian,138,"Charlottesville city, Virginia",352,7385,race,39.2
51540,2018,black,947,"Charlottesville city, Virginia",1973,7385,race,48
51540,2018,hispanic,122,"Charlottesville city, Virginia",NA,NA,NA,NA
51540,2018,multi,72,"Charlottesville city, Virginia",457,7385,race,15.75
51540,2018,nhpi,0,"Charlottesville city, Virginia",12,7385,race,0
51540,2018,other,0,"Charlottesville city, Virginia",61,7385,race,0
51540,2018,white,425,"Charlottesville city, Virginia",4450,7385,race,9.55
51540,2019,aian,0,"Charlottesville city, Virginia",31,7368,race,0
51540,2019,asian,76,"Charlottesville city, Virginia",361,7368,race,21.05
51540,2019,black,919,"Charlottesville city, Virginia",2015,7368,race,45.61
51540,2019,hispanic,256,"Charlottesville city, Virginia",NA,NA,NA,NA
51540,2019,multi,22,"Charlottesville city, Virginia",376,7368,race,5.85
51540,2019,nhpi,0,"Charlottesville city, Virginia",25,7368,race,0
51540,2019,other,0,"Charlottesville city, Virginia",93,7368,race,0
51540,2019,white,475,"Charlottesville city, Virginia",4467,7368,race,10.63
51540,2020,aian,0,"Charlottesville city, Virginia",38,7321,race,0
51540,2020,asian,93,"Charlottesville city, Virginia",417,7321,race,22.3
51540,2020,black,907,"Charlottesville city, Virginia",2000,7321,race,45.35
51540,2020,hispanic,234,"Charlottesville city, Virginia",NA,NA,NA,NA
51540,2020,multi,7,"Charlottesville city, Virginia",456,7321,race,1.54
51540,2020,nhpi,0,"Charlottesville city, Virginia",0,7321,race,NA
51540,2020,other,0,"Charlottesville city, Virginia",103,7321,race,0
51540,2020,white,413,"Charlottesville city, Virginia",4307,7321,race,9.59
51540,2021,aian,0,"Charlottesville city, Virginia",0,7314,race,NA
51540,2021,asian,90,"Charlottesville city, Virginia",403,7314,race,22.33
51540,2021,black,983,"Charlottesville city, Virginia",1889,7314,race,52.04
51540,2021,hispanic,343,"Charlottesville city, Virginia",NA,NA,NA,NA
51540,2021,multi,169,"Charlottesville city, Virginia",612,7314,race,27.61
51540,2021,nhpi,0,"Charlottesville city, Virginia",0,7314,race,NA
51540,2021,other,0,"Charlottesville city, Virginia",78,7314,race,0
51540,2021,white,604,"Charlottesville city, Virginia",4332,7314,race,13.94
